MoYear  Carsales
197501	2640255
197502	2648909
197503	2662399
197504	2674980
197505	2687314
197506	2702950
197507	2711656
197508	2719059
197509	2734796
197510	2748073
197511	2754011
197512	2760264
197601	2761392
197602	2769161
197603	2782744
197604	2802712
197605	2820744
197606	2837421
197607	2846127
197608	2851100
197609	2863181
197610	2874660
197611	2877550
197612	2881311
197701	2875011
197702	2878163
197703	2880607
197704	2891459
197705	2901294
197706	2903934
197707	2897946
197708	2888794
197709	2887133
197710	2884138
197711	2871440
197712	2857141
197801	2844876
197802	2842463
197803	2851062
197804	2873433
197805	2882580
197806	2891778
197807	2894187
197808	2891218
197809	2892947
197810	2888032
197811	2859810
197812	2856177
197901	2847099
197902	2847925
197903	2860364
197904	2875510
197905	2889180
197906	2903989
197907	2901070
197908	2899198
197909	2899445
197910	2889822
197911	2875286
197912	2868302
198001	2853561
198002	2853766
198003	2867243
198004	2890019
198005	2907292
198006	2917182
198007	2919258
198008	2924390
198009	2917315
198010	2901188
198011	2893791
198012	2882956
198101	2875760
198102	2878205
198103	2886930
198104	2912196
198105	2928915
198106	2939050
198107	2939068
198108	2939433
198109	2932697
198110	2923379
198111	2905828
198112	2893242
198201	2886804
198202	2889867
198203	2906842
198204	2938241
198205	2958083
198206	2972915
198207	2977044
198208	2977083
198209	2974085
198210	2969151
198211	2944566
198212	2935988
198301	2928899
198302	2932105
198303	2956800
198304	2986044
198305	3006778
198306	3023917
198307	3027907
198308	3029329
198309	3028908
198310	3021802
198311	3008871
198312	3006761
198401	3000709
198402	3004462
198403	3026184
198404	3056330
198405	3081317
198406	3098119
198407	3100135
198408	3102657
198409	3105727
198410	3094032
198411	3084572
198412	3080981
198501	3071646
198502	3074358
198503	3091112
198504	3133545
198505	3160355
198506	3178534
198507	3178940
198508	3183226
198509	3181097
198510	3172104
198511	3159690
198512	3151195
198601	3141939
198602	3147521
198603	3171208
198604	3209951
198605	3239503
198606	3258247
198607	3264575
198608	3271657
198609	3269956
198610	3268066
198611	3260740
198612	3253601
198701	3243261
198702	3249066
198703	3269663
198704	3315480
198705	3344032
198706	3368929
198707	3377104
198708	3383378
198709	3383984
198710	3385160
198711	3374796
198712	3366571
198801	3363826
198802	3369692
198803	3397306
198804	3440169
198805	3467828
198806	3488814
198807	3497031
198808	3504035
198809	3506810
198810	3503374
198811	3489672
198812	3482656
198901	3479119
198902	3487716
198903	3516252
198904	3553171
198905	3573492
198906	3594253
198907	3595205
198908	3601429
198909	3605467
198910	3597342
198911	3586489
198912	3578042
199001	3570268
199002	3576833
199003	3599131
199004	3626814
199005	3647738
199006	3665827
199007	3664056
199008	3664447
199009	3659355
199010	3637024
199011	3613311
199012	3600518
199101	3584051
199102	3591006
199103	3602294
199104	3631231
199105	3650920
199106	3664459
199107	3665124
199108	3666514
199109	3657653
199110	3643118
199111	3629734
199112	3621114
199201	3605200
199202	3602474
199203	3612271
199204	3633991
199205	3652197
199206	3659537
199207	3660086
199208	3656900
199209	3641654
199210	3623273
199211	3601642
199212	3588644
199301	3579140
199302	3576333
199303	3582852
199304	3604778
199305	3620478
199306	3626946
199307	3628378
199308	3624493
199309	3613112
199310	3598142
199311	3577303
199312	3566040
199401	3559792
199402	3558293
199403	3571965
199404	3599311
199405	3614755
199406	3625748
199407	3630078
199408	3629426
199409	3624057
199410	3613816
199411	3600099
199412	3594199
199501	3587559
199502	3589519
199503	3603810
199504	3626459
199505	3643268
199506	3656810
199507	3659153
199508	3659879
199509	3658636
199510	3649175
199511	3636290
199512	3630760
199601	3621916
199602	3623724
199603	3634297
199604	3655449
199605	3672669
199606	3685722
199607	3689174
199608	3692953
199609	3690117
199610	3674881
199611	3663767
199612	3654920
199701	3645529
199702	3646875
199703	3664076
199704	3685472
199705	3705390
199706	3719205
199707	3726103
199708	3731489
199709	3726902
199710	3721371
199711	3713519
